filepath,class,mean,variance
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/2a6787af-106b-4d86-b758-35589b2cfab3___JR_HL 9850.JPG,healthy,0.6215359568595886,0.029806243255734444
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/25aa393f-5278-4538-a526-c4b4d0290df9___JR_HL 9512.JPG,healthy,0.5417543053627014,0.031085461378097534
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/ab72c1fa-5d40-4bc9-a384-a99fab121811___JR_HL 9510_180deg.JPG,healthy,0.6461933255195618,0.03284493461251259
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/15ad69af-6eeb-4c2e-a917-7e0797e5b947___JR_HL 9611_flipTB.JPG,healthy,0.5140387415885925,0.035794347524642944
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/472fd482-aec7-4e73-86d1-7161f6a5024b___JR_HL 4178_flipTB.JPG,healthy,0.3990965783596039,0.039680998772382736
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/6fbe0c51-55ce-4623-8c81-7cf7f52009db___JR_HL 4142.JPG,healthy,0.4315125048160553,0.03623573109507561
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/defa124c-873c-4a35-92d1-28a2dc137957___JR_HL 9532.JPG,healthy,0.550405740737915,0.03724368289113045
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/d584bfa0-b24f-40da-97fb-7db77ea72f95___JR_HL 3993_flipTB.JPG,healthy,0.4715457260608673,0.028181808069348335
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/e9608c30-5177-4a98-82b9-9acd685c6673___JR_HL 9768_flipTB.JPG,healthy,0.506714403629303,0.03726484254002571
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/1d153987-66bc-45bd-aa65-78dfbd5a6a53___JR_HL 9626.JPG,healthy,0.5591707825660706,0.03452816978096962
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/501a9e53-250c-4ba7-b216-2295f4883aba___JR_HL 9575_flipTB.JPG,healthy,0.6253809332847595,0.03526744246482849
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/cf616072-4062-498e-b524-a1705681351f___JR_HL 9868_180deg.JPG,healthy,0.554075300693512,0.04084969684481621
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/de0655ff-6232-485c-9986-c636c679685e___JR_HL 4196_flipTB.JPG,healthy,0.47485461831092834,0.03999553993344307
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/c89bc3c2-97d5-4e38-a090-3ba121a17adf___JR_HL 4179.JPG,healthy,0.46893569827079773,0.040812164545059204
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/b255bae1-b650-413d-9444-dff61de6bd33___JR_HL 9724_180deg.JPG,healthy,0.553309977054596,0.03214136138558388
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/dc8ada8f-338c-4428-8878-b3d91f038374___JR_HL 9545_180deg.JPG,healthy,0.6487581133842468,0.023632166907191277
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/0580bdc7-e60e-4ba9-87dc-1202e57b94aa___JR_HL 4159_flipTB.JPG,healthy,0.4965861737728119,0.033688537776470184
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/94070a24-1b16-4696-b051-b01d4ca0b59a___JR_HL 4022_flipTB.JPG,healthy,0.40627530217170715,0.03443257883191109
input/datasets/cherry_leaf_dataset/cherry-leaves/train/healthy/2cf85c16-5aa1-41c8-a26d-10c7e410ccd9___JR_HL 9726.JPG,healthy,0.5675708055496216,0.029273638501763344
